,DATE,AGE,JOB_TYPE,STATUS,EDUCATION,HAS_DEFAULT,BALANCE,HAS_HOUSING_LOAN,HAS_PERSO_LOAN,CONTACT,DURATION_CONTACT,NB_CONTACT,NB_DAY_LAST_CONTACT,NB_CONTACT_LAST_CAMPAIGN,RESULT_LAST_CAMPAIGN,SUBSCRIPTION
0,2010-02-24,77,Retraité,Marié,Primaire,No,680,No,No,Fixe,513,2,89,7,Echec,No
1,2010-02-24,46,Admin,Marié,,No,2033,No,No,Portable,99,2,86,5,Echec,No
2,2010-02-24,64,Retraité,Marié,Primaire,No,1977,No,No,Portable,160,2,-1,0,,No
3,2010-02-24,37,Manager,Marié,Tertiaire,No,255,No,No,Portable,562,2,183,10,Succes,Yes
4,2010-02-25,33,Services,Célibataire,Secondaire,No,1852,No,No,Fixe,371,1,204,3,Autre,No
5,2010-02-25,25,Services,Célibataire,Secondaire,No,94,No,No,,32,1,-1,0,,No
6,2010-02-25,71,Entrepreuneur,Marié,Tertiaire,No,15265,No,No,Portable,865,1,192,2,Echec,No
7,2010-02-25,63,Retraité,Marié,,No,1849,No,No,Portable,125,6,177,2,Echec,No
8,2010-02-25,27,Services,Célibataire,Secondaire,No,195,Yes,No,Portable,416,3,-1,0,,Yes
9,2010-02-25,33,Technicien,Marié,Tertiaire,No,8023,No,No,Portable,196,1,87,4,Echec,No
10,2010-02-25,56,Manager,Marié,,No,4623,No,No,Portable,305,1,192,1,Succes,Yes
11,2010-02-25,63,Technicien,Marié,Secondaire,No,973,No,No,Portable,318,1,388,1,Succes,Yes
12,2010-02-25,59,Technicien,Marié,Secondaire,No,7766,Yes,No,Portable,1422,1,461,1,Echec,Yes
13,2010-02-25,22,Etudiant,Célibataire,Secondaire,No,948,No,No,Fixe,169,1,191,3,Succes,Yes
14,2010-02-25,30,Etudiant,Célibataire,Secondaire,No,48,No,No,Portable,217,1,191,2,Succes,Yes
15,2010-02-25,66,Manager,Marié,,No,2149,Yes,No,Portable,98,1,87,10,Echec,Yes
16,2010-02-25,70,Manager,Marié,Secondaire,No,4,No,No,Portable,511,5,125,4,Echec,No
17,2010-02-25,36,Manager,Célibataire,Tertiaire,No,688,No,No,Portable,293,3,268,2,Echec,No
18,2010-02-25,74,Retraité,Marié,Primaire,No,1413,No,No,Portable,385,2,-1,0,,Yes
19,2010-02-26,27,Technicien,Marié,Secondaire,No,241,No,Yes,,889,1,-1,0,,No
20,2010-02-26,24,Etudiant,Célibataire,Secondaire,No,486,No,No,Portable,281,2,270,2,Autre,No
21,2010-02-26,52,Technicien,Marié,Secondaire,No,117,No,No,Portable,959,3,186,6,Succes,Yes
22,2010-02-26,71,Retraité,Divorcé,Secondaire,No,0,No,No,Portable,771,1,171,1,Succes,Yes
23,2010-02-26,33,Manager,Marié,Tertiaire,No,71,No,No,Portable,335,3,102,2,Echec,Yes
24,2010-02-26,56,Technicien,Marié,Secondaire,No,1938,No,Yes,Portable,229,1,192,4,Succes,Yes
25,2010-02-26,47,Admin,Marié,,No,66,No,No,Portable,297,1,203,1,Succes,No
26,2010-02-26,34,Indépendant,Marié,Secondaire,No,173,No,No,,36,1,-1,0,,No
27,2010-02-26,37,Manager,Marié,Tertiaire,No,3654,No,No,Portable,262,1,274,2,Autre,No
28,2010-02-26,30,Manager,Célibataire,Tertiaire,No,5359,No,No,Portable,427,1,191,3,Succes,Yes
29,2010-02-26,28,Etudiant,Célibataire,Secondaire,No,1925,No,No,Portable,139,1,93,3,Succes,No
30,2010-02-26,27,Col bleu,Célibataire,Secondaire,No,23,No,No,Portable,590,2,-1,0,,No
31,2010-02-26,73,Retraité,Marié,,No,519,No,No,Fixe,270,3,133,2,Succes,Yes
32,2010-02-26,48,Technicien,Marié,Secondaire,No,3519,No,Yes,Portable,229,1,60,2,Echec,No
33,2010-02-26,67,Retraité,Marié,Primaire,No,8465,No,No,Portable,234,1,-1,0,,No
34,2010-02-26,60,Employé de ménage,Marié,Primaire,No,211,No,No,Portable,480,2,189,1,Echec,No
35,2010-03-01,57,Chomeur,Divorcé,Secondaire,No,79,Yes,No,,60,1,592,2,Echec,No
36,2010-03-01,123,Technicien,,Secondaire,No,0,No,,,10,1,-1,0,,No
37,2010-03-02,65,Chomeur,Marié,Secondaire,No,3195,No,No,Fixe,904,1,-1,0,,Yes
38,2010-03-02,59,Manager,Marié,Tertiaire,No,315,No,No,Portable,591,1,176,2,Echec,Yes
39,2010-03-02,37,Manager,Marié,Tertiaire,No,1113,No,No,Portable,229,1,182,1,Succes,Yes
40,2010-03-02,28,Col bleu,Célibataire,Secondaire,No,-46,Yes,No,Portable,525,1,89,11,Echec,Yes
41,2010-03-02,29,Admin,Célibataire,Tertiaire,No,8,No,Yes,Portable,107,1,-1,0,,No
42,2010-03-02,27,Technicien,Célibataire,Tertiaire,No,1075,No,No,Portable,658,1,-1,0,,Yes
43,2010-03-02,49,Admin,Célibataire,Tertiaire,No,228,Yes,No,Portable,368,1,-1,0,,Yes
44,2010-03-02,31,Admin,Célibataire,Tertiaire,No,4129,No,No,Portable,105,1,182,1,Echec,No
45,2010-03-02,38,Services,Célibataire,Secondaire,No,91,No,No,Portable,207,1,-1,0,,Yes
46,2010-03-02,36,Technicien,Célibataire,Secondaire,No,1407,No,No,Portable,328,1,109,3,Autre,No
47,2010-03-02,28,Technicien,Célibataire,Secondaire,No,598,Yes,No,Portable,177,1,288,2,Echec,Yes
48,2010-03-02,51,Technicien,Marié,Tertiaire,No,0,No,No,Portable,539,2,-1,0,,Yes
49,2010-03-02,26,Services,Célibataire,Secondaire,No,162,Yes,No,Portable,185,2,130,8,Autre,No
50,2010-03-02,56,Retraité,Marié,Primaire,No,1947,No,No,Portable,225,2,123,5,Echec,Yes
51,2010-03-02,37,Manager,Célibataire,Tertiaire,No,1027,Yes,No,Portable,313,1,152,2,Succes,Yes
52,2010-03-02,47,Technicien,Marié,Primaire,No,235,No,No,Portable,136,2,203,1,Autre,Yes
53,2010-03-02,60,Retraité,Divorcé,Tertiaire,No,2,No,No,Portable,228,4,390,2,Autre,Yes
54,2010-03-02,42,Technicien,Marié,Secondaire,No,4945,Yes,No,Portable,311,2,-1,0,,Yes
55,2010-03-02,27,Etudiant,Célibataire,Tertiaire,No,311,No,No,Fixe,187,3,322,1,Autre,Yes
56,2010-03-02,40,Chomeur,Célibataire,Tertiaire,No,7968,No,No,Portable,263,2,180,2,Succes,Yes
57,2010-03-03,25,Etudiant,Célibataire,Secondaire,No,154,No,No,Portable,141,1,180,2,Echec,Yes
58,2010-03-03,123,Retraité,Divorcé,Primaire,No,712,No,No,Fixe,557,1,-1,0,,Yes
59,2010-03-03,29,Etudiant,Célibataire,,No,7585,No,No,Portable,145,2,198,1,Echec,Yes
60,2010-03-03,29,Technicien,Célibataire,Tertiaire,No,2489,Yes,No,Portable,355,1,86,5,Echec,Yes
61,2010-03-03,68,Retraité,Marié,Secondaire,No,1146,No,No,Portable,153,2,110,3,Succes,Yes
62,2010-03-03,38,Admin,Marié,Secondaire,No,1559,No,No,Portable,136,2,280,1,Echec,Yes
63,2010-03-03,34,Admin,Marié,Secondaire,No,5320,No,No,Portable,114,6,467,5,Autre,No
64,2010-03-03,23,Etudiant,Célibataire,Secondaire,No,287,No,No,Fixe,700,3,180,1,Autre,No
65,2010-03-03,66,Employé de ménage,Divorcé,Primaire,No,3701,No,No,Fixe,834,1,-1,0,,Yes
66,2010-03-04,47,Manager,Marié,Tertiaire,No,0,Yes,No,Portable,194,2,181,3,Echec,No
67,2010-03-04,63,Retraité,Marié,Secondaire,No,2896,No,No,Portable,180,2,-1,0,,Yes
68,2010-03-04,32,Manager,Célibataire,Tertiaire,No,354,No,No,Portable,177,2,133,5,Autre,Yes
69,2010-03-04,34,Etudiant,Célibataire,,No,242,No,No,Fixe,364,2,244,2,Echec,No
70,2010-03-04,32,Manager,Marié,Tertiaire,No,2667,Yes,No,Portable,251,1,181,4,Echec,Yes
71,2010-03-04,42,Manager,Marié,Tertiaire,No,144,No,No,Portable,148,1,87,4,Echec,Yes
72,2010-03-04,39,Technicien,Marié,Tertiaire,No,508,No,No,Portable,431,1,122,3,Echec,No
73,2010-03-04,30,Manager,Marié,Tertiaire,No,359,No,No,Portable,117,2,-1,0,,No
74,2010-03-04,58,Employé de ménage,Célibataire,Secondaire,No,11494,No,No,Fixe,220,7,-1,0,,No
75,2010-03-04,26,Admin,Célibataire,Tertiaire,No,760,Yes,No,Portable,456,2,281,5,Succes,Yes
76,2010-03-04,63,,Marié,Secondaire,No,367,No,No,Fixe,262,1,178,6,Echec,No
77,2010-03-04,73,Retraité,Célibataire,Secondaire,No,1050,No,No,Portable,562,3,181,2,Echec,Yes
78,2010-03-05,70,Retraité,Divorcé,Secondaire,No,6850,No,No,Fixe,252,3,183,1,Echec,No
79,2010-03-05,68,Retraité,Marié,Tertiaire,No,2820,No,No,Portable,158,1,92,3,Succes,No
80,2010-03-05,26,Etudiant,Célibataire,Secondaire,No,5296,No,No,Portable,229,1,205,1,Echec,Yes
81,2010-03-05,33,Manager,Marié,Tertiaire,No,1390,No,No,Portable,77,1,179,5,Echec,No
82,2010-03-05,60,Admin,Marié,Secondaire,No,12980,No,No,Portable,115,1,-1,0,,Yes
83,2010-03-05,25,Col bleu,Célibataire,Secondaire,No,509,No,No,Portable,418,1,-1,0,,Yes
84,2010-03-05,64,Retraité,Marié,Tertiaire,No,1644,No,No,Fixe,341,4,179,4,Succes,Yes
85,2010-03-05,26,Etudiant,Célibataire,Tertiaire,No,294,No,No,Portable,87,1,91,2,Succes,Yes
86,2010-03-05,27,Admin,Célibataire,Secondaire,No,3529,No,Yes,Portable,162,1,179,2,Echec,No
87,2010-03-05,68,Retraité,Marié,Primaire,No,451,No,No,Portable,373,1,-1,0,,Yes
88,2010-03-05,30,Col bleu,Marié,Primaire,No,201,Yes,No,Portable,116,7,186,13,Succes,No
89,2010-03-05,30,Technicien,Marié,Tertiaire,No,3192,Yes,No,Portable,172,2,-1,0,,No
90,2010-03-05,39,Services,Marié,Secondaire,No,53,No,No,,257,1,394,1,Echec,Yes
