,DATE,AGE,JOB_TYPE,STATUS,EDUCATION,HAS_DEFAULT,BALANCE,HAS_HOUSING_LOAN,HAS_PERSO_LOAN,CONTACT,DURATION_CONTACT,NB_CONTACT,NB_DAY_LAST_CONTACT,NB_CONTACT_LAST_CAMPAIGN,RESULT_LAST_CAMPAIGN,SUBSCRIPTION
0,2008-05-05,58,Manager,Marié,Tertiaire,No,2143,Yes,No,,261,1,-1,0,,No
1,2008-05-05,123,Technicien,,Secondaire,No,29,Yes,,,151,1,-1,0,,No
2,2008-05-05,33,Entrepreuneur,Marié,Secondaire,No,2,Yes,Yes,,76,1,-1,0,,No
3,2008-05-05,47,Col bleu,Marié,,No,1506,Yes,No,,92,1,-1,0,,No
4,2008-05-05,33,,Célibataire,,No,1,No,No,,198,1,-1,0,,No
5,2008-05-05,35,Manager,Marié,Tertiaire,No,231,Yes,No,,139,1,-1,0,,No
6,2008-05-05,28,Manager,Célibataire,Tertiaire,No,447,Yes,Yes,,217,1,-1,0,,No
7,2008-05-05,42,Entrepreuneur,Divorcé,Tertiaire,Yes,2,Yes,No,,380,1,-1,0,,No
8,2008-05-05,123,Retraité,Marié,Primaire,No,121,Yes,,,50,1,-1,0,,No
9,2008-05-05,43,Technicien,Célibataire,Secondaire,No,593,Yes,No,,55,1,-1,0,,No
10,2008-05-05,41,Admin,Divorcé,Secondaire,No,270,Yes,No,,222,1,-1,0,,No
11,2008-05-05,29,Admin,Célibataire,Secondaire,No,390,Yes,No,,137,1,-1,0,,No
12,2008-05-05,53,Technicien,Marié,Secondaire,No,6,Yes,No,,517,1,-1,0,,No
13,2008-05-05,58,Technicien,Marié,,No,71,Yes,No,,71,1,-1,0,,No
14,2008-05-05,57,Services,Marié,Secondaire,No,162,Yes,No,,174,1,-1,0,,No
15,2008-05-05,51,Retraité,Marié,Primaire,No,229,Yes,No,,353,1,-1,0,,No
16,2008-05-05,45,Admin,Célibataire,,No,13,Yes,No,,98,1,-1,0,,No
17,2008-05-05,57,Col bleu,Marié,Primaire,No,52,Yes,No,,38,1,-1,0,,No
18,2008-05-05,60,Retraité,Marié,Primaire,No,60,Yes,No,,219,1,-1,0,,No
19,2008-05-05,33,Services,Marié,Secondaire,No,0,Yes,No,,54,1,-1,0,,No
20,2008-05-05,28,Col bleu,Marié,Secondaire,No,723,Yes,Yes,,262,1,-1,0,,No
21,2008-05-05,56,Manager,Marié,Tertiaire,No,779,Yes,No,,164,1,-1,0,,No
22,2008-05-05,32,Col bleu,Célibataire,Primaire,No,23,Yes,Yes,,160,1,-1,0,,No
23,2008-05-05,25,Services,Marié,Secondaire,No,50,Yes,No,,342,1,-1,0,,No
24,2008-05-05,40,Retraité,Marié,Primaire,No,0,Yes,Yes,,181,1,-1,0,,No
25,2008-05-05,44,Admin,Marié,Secondaire,No,-372,Yes,No,,172,1,-1,0,,No
26,2008-05-05,39,Manager,Célibataire,Tertiaire,No,255,Yes,No,,296,1,-1,0,,No
27,2008-05-05,52,Entrepreuneur,Marié,Secondaire,No,113,Yes,Yes,,127,1,-1,0,,No
28,2008-05-05,46,Manager,Célibataire,Secondaire,No,-246,Yes,No,,255,2,-1,0,,No
